customer_id,sentiment,author,content
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
customer_id,sentiment,author,content
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
100001,happiness,HappyShopper,"Absolutely love this store! The quality of the products is amazing, and shipping was so fast!"
100002,sadness,DisappointedCustomer,"The product arrived damaged, and customer service has not responded to my emails."
100003,neutral,Shopper101,"Decent experience overall. Product is okay, but shipping took a while."
100004,enthusiasm,BigFan123,"Just received my order, and I am so thrilled! This is exactly what I needed!"
100005,worry,CautiousBuyer,"I haven’t received my order confirmation yet. Is everything okay with my order?"
100006,neutral,FrequentBuyer,"I shop here often, and it’s always consistent. Nothing special this time, though."
100007,love,LoyalCustomer,"I’m in love with this store! The products are unique and worth every penny."
100008,hate,AngryShopper,"Terrible experience! I will never shop here again. The service was horrible."
100009,sadness,FrustratedBuyer,"The size was wrong, and now I have to deal with a complicated return process."
100010,fun,HappyCamper,"Unboxing my order was so much fun! Great job on the packaging, very creative."
100011,worry,ConcernedCustomer,"The tracking information hasn’t been updated in days. I’m starting to get worried."
100012,surprise,SurprisedShopper,"Wow, the quality exceeded my expectations! I wasn’t expecting it to be this good."
100013,sadness,UnsatisfiedCustomer,"The product didn’t match the description on the website. Very disappointed."
100014,happiness,OverjoyedCustomer,"Best purchase ever! I’m so happy with everything I ordered."
100015,worry,SkepticalBuyer,"I hope this product lasts as long as it claims. Fingers crossed!"
100016,neutral,CasualBuyer,"It’s okay. Not bad, but not great either. Just average."
100017,enthusiasm,ExcitedCustomer,"Can’t wait to try out the new arrivals! Already planning my next purchase."
100018,worry,ImpatientBuyer,"Why is my order delayed? I need this for an upcoming event!"
100019,happiness,SatisfiedCustomer,"Received my package on time, and everything is perfect. Thank you!"
100020,sadness,RegretfulShopper,"I wish I hadn’t bought this. The quality isn’t what I expected."
